Category,City,Country,Customer ID,Customer Name,Discount,Market,Order Date,Order ID,Order Priority,Product ID,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,Shipping Cost,State,Sub-Category,Year,Market2,weeknum,day_for_shipping,shipping_date_count,order_date_count,planning_day_for_shipping,planning_day_for_shippin_,late_risk,on_time,shipping_benefit
Office Supplies,Los Angeles,United States,JD-158954,Jonathan Doherty,0.0,US,2013-11-01,CA-2013-144218,Medium,OFF-ST-10002615,"Dual Level, Single-Width Filing Carts",282.2092,7,West,1085,Corporate,2013-11-05,Standard Class,64.42,California,Storage,2013,North America,44,4,58,78,4,4,0,1,-64.42
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,US,2013-11-04,CA-2013-109365,Medium,OFF-AP-10002998,Holmes 99% HEPA Air Purifier,14.2956,2,West,43,Consumer,2013-11-09,Standard Class,4.21,California,Appliances,2013,North America,45,5,51,59,4,4,1,0,-4.21
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,US,2013-11-04,CA-2013-109365,Medium,OFF-FA-10001561,Stockwell Push Pins,5.0358,7,West,15,Consumer,2013-11-09,Standard Class,1.34,California,Fasteners,2013,North America,45,5,51,59,4,4,1,0,-1.34
Office Supplies,Los Angeles,United States,MC-176054,Matt Connell,0.0,US,2013-11-21,CA-2013-145492,Medium,OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",11.31,12,West,39,Corporate,2013-11-28,Standard Class,2.35,California,Appliances,2013,North America,47,7,39,59,4,4,1,0,-2.35
Office Supplies,Los Angeles,United States,MS-173654,Maribeth Schnelling,0.0,US,2013-11-27,CA-2013-107104,Medium,OFF-AP-10000055,Belkin F9S820V06 8 Outlet Surge,19.488,2,West,65,Consumer,2013-12-01,Standard Class,3.16,California,Appliances,2013,North America,48,4,70,36,4,4,0,1,-3.16
Office Supplies,Los Angeles,United States,GM-144404,Gary McGarr,0.0,US,2013-12-04,CA-2013-161025,Medium,OFF-ST-10001932,Fellowes Staxonsteel Drawer Files,108.1752,4,West,773,Consumer,2013-12-10,Standard Class,53.32,California,Storage,2013,North America,49,6,44,67,4,4,1,0,-53.32
Office Supplies,Los Angeles,United States,AP-107204,Anne Pryor,0.0,US,2013-12-07,US-2013-103674,Medium,OFF-FA-10003467,"Alliance Big Bands Rubber Bands, 12/Pack",0.0,7,West,14,Home Office,2013-12-11,Standard Class,1.25,California,Fasteners,2013,North America,49,4,51,44,4,4,0,1,-1.25
Office Supplies,Los Angeles,United States,MC-181304,Mike Caudle,0.0,US,2013-12-27,CA-2013-129868,Medium,OFF-AP-10004052,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",2.054,2,West,8,Corporate,2014-01-01,Standard Class,0.54,California,Appliances,2013,North America,52,5,58,57,4,4,1,0,-0.54
Office Supplies,Los Angeles,United States,MC-181304,Mike Caudle,0.0,US,2013-12-27,CA-2013-129868,Medium,OFF-SU-10000952,Fiskars Home & Office Scissors,4.9728,2,West,18,Corporate,2014-01-01,Standard Class,1.23,California,Supplies,2013,North America,52,5,58,57,4,4,1,0,-1.23
Office Supplies,Los Angeles,United States,JL-158354,John Lee,0.0,US,2014-02-03,CA-2014-161333,Medium,OFF-AP-10000252,Harmony HEPA Quiet Air Purifiers,16.38,4,West,47,Consumer,2014-02-08,Standard Class,2.86,California,Appliances,2014,North America,6,5,33,28,4,4,1,0,-2.86
Office Supplies,Los Angeles,United States,JL-158354,John Lee,0.0,US,2014-02-03,CA-2014-161333,Medium,OFF-ST-10000464,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",38.9312,4,West,139,Consumer,2014-02-08,Standard Class,7.18,California,Storage,2014,North America,6,5,33,28,4,4,1,0,-7.18
Office Supplies,Los Angeles,United States,SP-208604,Sung Pak,0.0,US,2014-03-05,CA-2014-110478,Medium,OFF-EN-10000483,"White Envelopes, White Envelopes with Clear Poly Window",7.015,1,West,15,Corporate,2014-03-10,Standard Class,1.53,California,Envelopes,2014,North America,10,5,29,35,4,4,1,0,-1.53
Office Supplies,Los Angeles,United States,BP-110504,Barry Pond,0.0,US,2014-03-19,CA-2014-143084,Medium,OFF-EN-10003072,Peel & Seel Envelopes,9.312,5,West,19,Corporate,2014-03-23,Standard Class,1.76,California,Envelopes,2014,North America,12,4,55,48,4,4,0,1,-1.76
Office Supplies,Los Angeles,United States,GZ-145454,George Zrebassa,0.0,US,2014-03-20,CA-2014-140515,Medium,OFF-AP-10001205,Belkin 5 Outlet SurgeMaster Power Centers,106.7808,7,West,381,Corporate,2014-03-25,Standard Class,21.55,California,Appliances,2014,North America,12,5,22,53,4,4,1,0,-21.55
Office Supplies,Los Angeles,United States,PS-187604,Pamela Stobb,0.0,US,2014-04-18,CA-2014-128965,Medium,OFF-FA-10001561,Stockwell Push Pins,3.597,5,West,11,Consumer,2014-04-23,Standard Class,0.69,California,Fasteners,2014,North America,16,5,46,42,4,4,1,0,-0.69
Office Supplies,Los Angeles,United States,PS-187604,Pamela Stobb,0.0,US,2014-04-18,CA-2014-128965,Medium,OFF-LA-10003190,Avery 474,11.2896,8,West,23,Consumer,2014-04-23,Standard Class,2.01,California,Labels,2014,North America,16,5,46,42,4,4,1,0,-2.01
Office Supplies,Los Angeles,United States,PS-187604,Pamela Stobb,0.0,US,2014-04-18,CA-2014-128965,Medium,OFF-LA-10001404,Avery 517,3.4686,2,West,7,Consumer,2014-04-23,Standard Class,0.62,California,Labels,2014,North America,16,5,46,42,4,4,1,0,-0.62
Office Supplies,Los Angeles,United States,RD-195854,Rob Dowd,0.0,US,2014-07-04,CA-2014-139437,Medium,OFF-ST-10002485,Rogers Deluxe File Chest,0.8792,4,West,88,Consumer,2014-07-09,Standard Class,6.23,California,Storage,2014,North America,27,5,37,59,4,4,1,0,-6.23
Office Supplies,Los Angeles,United States,AT-107354,Annie Thurman,0.0,US,2014-07-08,CA-2014-106824,Medium,OFF-FA-10001135,"Brites Rubber Bands, 1 1/2 oz. Box",0.1188,3,West,6,Consumer,2014-07-12,Standard Class,0.39,California,Fasteners,2014,North America,28,4,28,33,4,4,0,1,-0.39
Office Supplies,Los Angeles,United States,KB-162404,Karen Bern,0.0,US,2014-07-12,CA-2014-162012,Medium,OFF-AP-10003040,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,43.706,5,West,168,Corporate,2014-07-19,Standard Class,10.21,California,Appliances,2014,North America,28,7,42,20,4,4,1,0,-10.21
Office Supplies,Los Angeles,United States,TH-212354,Tiffany House,0.0,US,2014-09-05,CA-2014-117261,Medium,OFF-ST-10000419,"Rogers Jumbo File, Granite",0.5432,4,West,54,Corporate,2014-09-11,Standard Class,3.88,California,Storage,2014,North America,36,6,66,92,4,4,1,0,-3.88
Office Supplies,Los Angeles,United States,CS-125054,Cindy Stewart,0.0,US,2014-11-03,US-2014-115609,Medium,OFF-AP-10003040,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,43.706,5,West,168,Consumer,2014-11-08,Standard Class,10.3,California,Appliances,2014,North America,45,5,60,77,4,4,1,0,-10.3
Office Supplies,Los Angeles,United States,ZC-219104,Zuschuss Carroll,0.0,US,2014-11-07,CA-2014-100013,Medium,OFF-EN-10001219,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",7.4872,2,West,15,Consumer,2014-11-12,Standard Class,1.03,California,Envelopes,2014,North America,45,5,45,87,4,4,1,0,-1.03
Office Supplies,Los Angeles,United States,GA-147254,Guy Armstrong,0.0,US,2014-11-12,CA-2014-110842,Medium,OFF-AP-10003971,Belkin 6 Outlet Metallic Surge Strip,2.8314,1,West,11,Consumer,2014-11-17,Standard Class,0.85,California,Appliances,2014,North America,46,5,101,103,4,4,1,0,-0.85
Office Supplies,Los Angeles,United States,MC-181004,Mick Crebagga,0.0,US,2014-11-20,CA-2014-126242,Medium,OFF-ST-10000675,"File Shuttle II and Handi-File, Black",76.2525,9,West,305,Consumer,2014-11-25,Standard Class,12.16,California,Storage,2014,North America,47,5,84,118,4,4,1,0,-12.16
Office Supplies,Los Angeles,United States,FH-143654,Fred Hopkins,0.0,US,2014-12-26,CA-2014-121398,Medium,OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",2.7062,2,West,271,Corporate,2014-12-30,Standard Class,16.73,California,Storage,2014,North America,52,4,84,110,4,4,0,1,-16.73
Office Supplies,San Francisco,United States,BD-116054,Brian Dahlen,0.0,US,2011-01-14,CA-2011-157147,High,OFF-AR-10003514,4009 Highlighters by Sanford,6.567,5,West,20,Consumer,2011-01-19,Standard Class,3.03,California,Art,2011,North America,3,5,24,26,4,4,1,0,-3.03
Office Supplies,San Francisco,United States,BD-116054,Brian Dahlen,0.0,US,2011-01-14,CA-2011-157147,High,OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,238.653,5,West,1326,Consumer,2011-01-19,Standard Class,187.65,California,Storage,2011,North America,3,5,24,26,4,4,1,0,-187.65
Office Supplies,San Francisco,United States,CA-122654,Christina Anderson,0.0,US,2011-03-25,CA-2011-128237,Medium,OFF-AR-10000034,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",9.9216,6,West,25,Consumer,2011-03-30,Standard Class,2.03,California,Art,2011,North America,13,5,13,24,4,4,1,0,-2.03
Office Supplies,San Francisco,United States,CA-122654,Christina Anderson,0.0,US,2011-03-25,CA-2011-128237,Medium,OFF-AR-10003338,"Eberhard Faber 3 1/2"" Golf Pencils",3.72,2,West,15,Consumer,2011-03-30,Standard Class,1.35,California,Art,2011,North America,13,5,13,24,4,4,1,0,-1.35
Office Supplies,San Francisco,United States,CA-122654,Christina Anderson,0.0,US,2011-03-25,CA-2011-128237,Medium,OFF-AR-10003829,Newell 35,1.9024,2,West,7,Consumer,2011-03-30,Standard Class,0.46,California,Art,2011,North America,13,5,13,24,4,4,1,0,-0.46
Office Supplies,San Francisco,United States,DK-128354,Damala Kotsonis,0.0,US,2011-03-26,CA-2011-141838,High,OFF-AR-10004272,Newell 308,0.84,2,West,3,Corporate,2011-03-31,Second Class,0.19,California,Art,2011,North America,13,5,16,8,2,2,1,0,-0.19
Office Supplies,San Francisco,United States,AA-103154,Alex Avila,0.0,US,2011-03-31,CA-2011-128055,Medium,OFF-AP-10002765,Fellowes Advanced Computer Series Surge Protectors,14.8344,2,West,53,Consumer,2011-04-05,Standard Class,3.17,California,Appliances,2011,North America,14,5,22,28,4,4,1,0,-3.17
Office Supplies,San Francisco,United States,PK-189104,Paul Knutson,0.0,US,2011-04-04,CA-2011-105172,High,OFF-LA-10001641,Avery 518,9.072,6,West,19,Home Office,2011-04-09,Standard Class,2.66,California,Labels,2011,North America,15,5,23,33,4,4,1,0,-2.66
Office Supplies,San Francisco,United States,CM-124454,Chuck Magee,0.0,US,2011-06-09,CA-2011-133851,Low,OFF-AR-10003752,Deluxe Chalkboard Eraser Cleaner,10.626,2,West,23,Consumer,2011-06-16,Standard Class,2.24,California,Art,2011,North America,24,7,14,43,4,4,1,0,-2.24
Office Supplies,San Francisco,United States,CM-124454,Chuck Magee,0.0,US,2011-06-09,CA-2011-133851,Low,OFF-SU-10001225,Staples,0.1472,2,West,7,Consumer,2011-06-16,Standard Class,0.84,California,Supplies,2011,North America,24,7,14,43,4,4,1,0,-0.84
Office Supplies,San Francisco,United States,DS-130304,Darrin Sayre,0.0,US,2011-07-09,CA-2011-113271,Medium,OFF-AR-10003251,Prang Drawing Pencil Set,2.224,2,West,6,Home Office,2011-07-14,Standard Class,0.28,California,Art,2011,North America,28,5,19,18,4,4,1,0,-0.28
Office Supplies,San Francisco,United States,ME-180104,Michelle Ellison,0.0,US,2011-07-21,CA-2011-116932,Medium,OFF-AR-10002067,Newell 334,25.792,5,West,99,Corporate,2011-07-25,Standard Class,7.53,California,Art,2011,North America,30,4,11,25,4,4,0,1,-7.53
Office Supplies,San Francisco,United States,NP-183254,Naresj Patel,0.0,US,2011-07-22,CA-2011-117464,High,OFF-AR-10003190,Newell 32,3.2256,4,West,12,Consumer,2011-07-24,Second Class,1.92,California,Art,2011,North America,30,2,27,15,2,2,0,1,-1.92
Office Supplies,San Francisco,United States,NP-183254,Naresj Patel,0.0,US,2011-07-22,CA-2011-117464,High,OFF-ST-10003058,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,68.585,10,West,237,Consumer,2011-07-24,Second Class,28.62,California,Storage,2011,North America,30,2,27,15,2,2,0,1,-28.62
Office Supplies,San Francisco,United States,NC-185354,Nick Crebassa,0.0,US,2011-07-23,CA-2011-145254,High,OFF-SU-10004664,Acme Softgrip Scissors,11.803,5,West,41,Corporate,2011-07-27,Standard Class,3.27,California,Supplies,2011,North America,30,4,23,23,4,4,0,1,-3.27
Office Supplies,San Francisco,United States,KL-166454,Ken Lonsdale,0.0,US,2011-07-25,CA-2011-143917,High,OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",15.0416,4,West,54,Consumer,2011-07-27,Second Class,5.53,California,Storage,2011,North America,31,2,23,15,2,2,0,1,-5.53
Office Supplies,San Francisco,United States,KL-166454,Ken Lonsdale,0.0,US,2011-07-25,CA-2011-143917,High,OFF-SU-10000151,High Speed Automatic Electric Letter Opener,327.506,5,West,8188,Consumer,2011-07-27,Second Class,16.77,California,Supplies,2011,North America,31,2,23,15,2,2,0,1,-16.77
Office Supplies,San Francisco,United States,SS-205904,Sonia Sunley,0.0,US,2011-08-05,CA-2011-150490,Medium,OFF-AR-10004602,Boston KS Multi-Size Manual Pencil Sharpener,12.8744,2,West,46,Consumer,2011-08-11,Standard Class,4.43,California,Art,2011,North America,32,6,18,37,4,4,1,0,-4.43
Office Supplies,San Francisco,United States,SS-205904,Sonia Sunley,0.0,US,2011-08-05,CA-2011-150490,Medium,OFF-ST-10000321,Akro Stacking Bins,0.6312,2,West,16,Consumer,2011-08-11,Standard Class,0.29,California,Storage,2011,North America,32,6,18,37,4,4,1,0,-0.29
Office Supplies,San Francisco,United States,BD-116054,Brian Dahlen,0.0,US,2011-08-15,US-2011-164406,High,OFF-AP-10003287,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,42.8148,3,West,153,Consumer,2011-08-19,Standard Class,20.47,California,Appliances,2011,North America,34,4,24,37,4,4,0,1,-20.47
Office Supplies,San Francisco,United States,ZD-219254,Zuschuss Donatelli,0.0,US,2011-08-27,CA-2011-143336,High,OFF-AR-10003056,Newell 341,2.4824,2,West,9,Consumer,2011-09-01,Second Class,1.58,California,Art,2011,North America,35,5,27,20,2,2,1,0,-1.58
Office Supplies,San Francisco,United States,VP-217604,Victoria Pisteka,0.0,US,2011-09-06,CA-2011-130449,Medium,OFF-LA-10001934,Avery 516,27.4856,8,West,58,Corporate,2011-09-09,First Class,3.81,California,Labels,2011,North America,37,3,19,34,1,1,1,0,-3.81
Office Supplies,San Francisco,United States,DP-133904,Dennis Pardue,0.0,US,2011-09-08,CA-2011-168592,Medium,OFF-AP-10004785,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",24.3595,5,West,57,Home Office,2011-09-14,Standard Class,5.59,California,Appliances,2011,North America,37,6,38,76,4,4,1,0,-5.59
Office Supplies,San Francisco,United States,DP-133904,Dennis Pardue,0.0,US,2011-09-08,CA-2011-168592,Medium,OFF-FA-10002988,Ideal Clamps,1.9698,2,West,4,Home Office,2011-09-14,Standard Class,0.29,California,Fasteners,2011,North America,37,6,38,76,4,4,1,0,-0.29
Office Supplies,San Francisco,United States,DP-133904,Dennis Pardue,0.0,US,2011-09-08,CA-2011-168592,Medium,OFF-ST-10002406,Pizazz Global Quick File,4.1916,1,West,15,Home Office,2011-09-14,Standard Class,1.26,California,Storage,2011,North America,37,6,38,76,4,4,1,0,-1.26
Office Supplies,San Francisco,United States,JK-156404,Jim Kriz,0.0,US,2011-09-19,CA-2011-159849,High,OFF-FA-10000053,Revere Boxed Rubber Bands by Revere,0.1134,3,West,6,Home Office,2011-09-19,Same Day,0.67,California,Fasteners,2011,North America,39,0,47,37,0,0,0,1,-0.67
Office Supplies,San Francisco,United States,ES-140204,Erica Smith,0.0,US,2011-09-20,CA-2011-156433,Medium,OFF-LA-10001569,Avery 499,4.5816,2,West,10,Consumer,2011-09-26,Standard Class,0.2,California,Labels,2011,North America,39,6,30,46,4,4,1,0,-0.2
Office Supplies,San Francisco,United States,HF-149954,Herbert Flentye,0.0,US,2011-09-21,CA-2011-153969,High,OFF-AR-10001615,Newell 34,15.4752,3,West,60,Consumer,2011-09-25,Standard Class,6.51,California,Art,2011,North America,39,4,37,49,4,4,0,1,-6.51
Office Supplies,San Francisco,United States,HF-149954,Herbert Flentye,0.0,US,2011-09-21,CA-2011-153969,High,OFF-EN-10004483,"#10 White Business Envelopes,4 1/8 x 9 1/2",36.8245,5,West,78,Consumer,2011-09-25,Standard Class,7.85,California,Envelopes,2011,North America,39,4,37,49,4,4,0,1,-7.85
Office Supplies,San Francisco,United States,HF-149954,Herbert Flentye,0.0,US,2011-09-21,CA-2011-153969,High,OFF-EN-10001539,Staples,7.3132,2,West,16,Consumer,2011-09-25,Standard Class,2.3,California,Envelopes,2011,North America,39,4,37,49,4,4,0,1,-2.3
Office Supplies,San Francisco,United States,JD-160604,Julia Dunbar,0.0,US,2011-09-24,CA-2011-123344,Medium,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",8.4784,4,West,212,Consumer,2011-09-29,Standard Class,7.99,California,Storage,2011,North America,39,5,21,12,4,4,1,0,-7.99
Office Supplies,San Francisco,United States,SJ-205004,Shirley Jackson,0.0,US,2011-10-09,CA-2011-138240,Medium,OFF-AR-10002135,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,41.934,3,West,145,Consumer,2011-10-14,Standard Class,8.56,California,Art,2011,North America,42,5,13,3,4,4,1,0,-8.56
Office Supplies,San Francisco,United States,DN-136904,Duane Noonan,0.0,US,2011-10-12,CA-2011-139451,Medium,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4.172,5,West,15,Consumer,2011-10-16,Standard Class,0.45,California,Art,2011,North America,42,4,25,28,4,4,0,1,-0.45
Office Supplies,San Francisco,United States,DN-136904,Duane Noonan,0.0,US,2011-10-12,CA-2011-139451,Medium,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",6.2031,1,West,21,Consumer,2011-10-16,Standard Class,1.54,California,Storage,2011,North America,42,4,25,28,4,4,0,1,-1.54
Office Supplies,San Francisco,United States,RP-192704,Rachel Payne,0.0,US,2011-10-19,CA-2011-155264,Medium,OFF-LA-10002787,Avery 480,9.0,5,West,19,Corporate,2011-10-22,Second Class,2.31,California,Labels,2011,North America,43,3,35,39,2,2,1,0,-2.31
Office Supplies,San Francisco,United States,SH-203954,Shahid Hopkins,0.0,US,2011-11-02,CA-2011-115889,High,OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,105.2468,2,West,363,Consumer,2011-11-06,Standard Class,34.38,California,Storage,2011,North America,45,4,56,48,4,4,0,1,-34.38
Office Supplies,San Francisco,United States,JP-155204,Jeremy Pistek,0.0,US,2011-11-09,CA-2011-144666,Critical,OFF-ST-10001321,"Decoflex Hanging Personal Folder File, Blue",24.9804,6,West,93,Consumer,2011-11-11,Second Class,21.12,California,Storage,2011,North America,46,2,29,29,2,2,0,1,-21.12
Office Supplies,San Francisco,United States,JP-155204,Jeremy Pistek,0.0,US,2011-11-09,CA-2011-144666,Critical,OFF-ST-10002743,SAFCO Boltless Steel Shelving,3.4092,3,West,341,Consumer,2011-11-11,Second Class,51.9,California,Storage,2011,North America,46,2,29,29,2,2,0,1,-51.9
Office Supplies,San Francisco,United States,SC-202604,Scott Cohen,0.0,US,2011-11-15,CA-2011-128622,Critical,OFF-SU-10001574,Acme Value Line Scissors,3.285,3,West,11,Corporate,2011-11-17,Second Class,2.3,California,Supplies,2011,North America,47,2,14,39,2,2,0,1,-2.3
Office Supplies,San Francisco,United States,TS-212054,Thomas Seio,0.0,US,2011-11-17,CA-2011-140662,High,OFF-AP-10001242,APC 7 Outlet Network SurgeArrest Surge Protector,72.432,3,West,241,Corporate,2011-11-19,First Class,14.77,California,Appliances,2011,North America,47,2,19,32,1,1,1,0,-14.77
Office Supplies,San Francisco,United States,DH-136754,Duane Huffman,0.0,US,2011-11-28,CA-2011-105249,Medium,OFF-LA-10002043,Avery 489,19.872,4,West,41,Home Office,2011-11-28,Same Day,3.39,California,Labels,2011,North America,49,0,20,64,0,0,0,1,-3.39
Office Supplies,San Francisco,United States,DH-136754,Duane Huffman,0.0,US,2011-11-28,CA-2011-105249,Medium,OFF-SU-10001225,Staples,0.1472,2,West,7,Home Office,2011-11-28,Same Day,1.36,California,Supplies,2011,North America,49,0,20,64,0,0,0,1,-1.36
Office Supplies,San Francisco,United States,SG-204704,Sheri Gordon,0.0,US,2011-11-28,CA-2011-159800,High,OFF-AP-10004859,Acco 6 Outlet Guardian Premium Surge Suppressor,11.7936,3,West,44,Consumer,2011-12-01,First Class,3.95,California,Appliances,2011,North America,49,3,46,64,1,1,1,0,-3.95
Office Supplies,San Francisco,United States,AH-102104,Alan Hwang,0.0,US,2011-11-29,CA-2011-153983,Medium,OFF-FA-10003495,Staples,15.2,5,West,30,Consumer,2011-12-06,Standard Class,2.12,California,Fasteners,2011,North America,49,7,37,41,4,4,1,0,-2.12
Office Supplies,San Francisco,United States,AJ-107954,Anthony Johnson,0.0,US,2011-12-29,CA-2011-110786,High,OFF-LA-10001474,Avery 477,126.3942,9,West,275,Corporate,2012-01-02,Standard Class,0.2,California,Labels,2011,North America,53,4,43,58,4,4,0,1,-0.2
Office Supplies,San Francisco,United States,JL-151754,James Lanier,0.0,US,2012-01-05,CA-2012-158701,Medium,OFF-AP-10004859,Acco 6 Outlet Guardian Premium Surge Suppressor,23.5872,6,West,87,Home Office,2012-01-10,Standard Class,5.39,California,Appliances,2012,North America,1,5,29,34,4,4,1,0,-5.39
Office Supplies,San Francisco,United States,GA-145154,George Ashbrook,0.0,US,2012-04-17,CA-2012-155306,High,OFF-AP-10002651,Hoover Upright Vacuum With Dirt Cup,419.8185,5,West,1448,Consumer,2012-04-21,Standard Class,114.8,California,Appliances,2012,North America,16,4,31,21,4,4,0,1,-114.8
Office Supplies,San Francisco,United States,GA-145154,George Ashbrook,0.0,US,2012-04-17,CA-2012-155306,High,OFF-AR-10003251,Prang Drawing Pencil Set,2.224,2,West,6,Consumer,2012-04-21,Standard Class,0.33,California,Art,2012,North America,16,4,31,21,4,4,0,1,-0.33
Office Supplies,San Francisco,United States,KB-165854,Ken Black,0.0,US,2012-04-30,CA-2012-103716,Medium,OFF-AR-10000658,Newell 324,9.702,3,West,35,Corporate,2012-05-06,Standard Class,3.03,California,Art,2012,North America,18,6,21,32,4,4,1,0,-3.03
Office Supplies,San Francisco,United States,PO-188504,Patrick O'Brill,0.0,US,2012-05-01,CA-2012-104486,High,OFF-ST-10000876,Eldon Simplefile Box Office,10.4496,3,West,37,Consumer,2012-05-06,Standard Class,3.61,California,Storage,2012,North America,18,5,21,30,4,4,1,0,-3.61
Office Supplies,San Francisco,United States,PO-188504,Patrick O'Brill,0.0,US,2012-05-01,CA-2012-104486,High,OFF-SU-10002573,"Acme 10"" Easy Grip Assistive Scissors",10.518,2,West,35,Consumer,2012-05-06,Standard Class,5.55,California,Supplies,2012,North America,18,5,21,30,4,4,1,0,-5.55
Office Supplies,San Francisco,United States,LC-168704,Lena Cacioppo,0.0,US,2012-05-03,CA-2012-150770,Critical,OFF-AR-10001246,Newell 317,2.5578,3,West,9,Consumer,2012-05-06,First Class,2.23,California,Art,2012,North America,18,3,21,29,1,1,1,0,-2.23
Office Supplies,San Francisco,United States,HA-149204,Helen Andreada,0.0,US,2012-07-26,CA-2012-136735,Low,OFF-EN-10002230,Airmail Envelopes,78.8942,2,West,168,Consumer,2012-08-02,Standard Class,21.59,California,Envelopes,2012,North America,30,7,17,21,4,4,1,0,-21.59
Office Supplies,San Francisco,United States,DS-131804,David Smith,0.0,US,2012-08-21,CA-2012-130456,Medium,OFF-ST-10000736,Carina Double Wide Media Storage Towers in Natural & Black,3.2392,1,West,81,Corporate,2012-08-26,Standard Class,4.69,California,Storage,2012,North America,34,5,41,35,4,4,1,0,-4.69
Office Supplies,San Francisco,United States,DB-131204,David Bremer,0.0,US,2012-09-03,CA-2012-130204,Low,OFF-ST-10001325,Sterilite Officeware Hinged File Box,8.4888,3,West,31,Corporate,2012-09-09,Standard Class,4.69,California,Storage,2012,North America,36,6,28,60,4,4,1,0,-4.69
Office Supplies,San Francisco,United States,RH-195104,Rick Huthwaite,0.0,US,2012-09-27,CA-2012-167255,High,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",4.3428,1,West,16,Home Office,2012-09-29,Second Class,1.95,California,Storage,2012,North America,39,2,55,44,2,2,0,1,-1.95
Office Supplies,San Francisco,United States,HG-149654,Henry Goldwyn,0.0,US,2012-09-28,CA-2012-169201,Critical,OFF-AP-10002082,Holmes HEPA Air Purifier,15.246,2,West,44,Corporate,2012-10-01,First Class,17.63,California,Appliances,2012,North America,39,3,44,61,1,1,1,0,-17.63
Office Supplies,San Francisco,United States,HG-149654,Henry Goldwyn,0.0,US,2012-09-28,CA-2012-169201,Critical,OFF-AP-10000696,Holmes Odor Grabber,14.2758,3,West,43,Corporate,2012-10-01,First Class,12.13,California,Appliances,2012,North America,39,3,44,61,1,1,1,0,-12.13
Office Supplies,San Francisco,United States,AA-103154,Alex Avila,0.0,US,2012-10-04,CA-2012-121391,Critical,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",7.0096,2,West,27,Consumer,2012-10-07,First Class,5.23,California,Storage,2012,North America,40,3,45,32,1,1,1,0,-5.23
Office Supplies,San Francisco,United States,TB-216254,Trudy Brown,0.0,US,2012-10-25,CA-2012-152891,Medium,OFF-AR-10004648,Boston 19500 Mighty Mite Electric Pencil Sharpener,16.3215,3,West,60,Consumer,2012-10-30,Standard Class,2.59,California,Art,2012,North America,43,5,42,41,4,4,1,0,-2.59
Office Supplies,San Francisco,United States,NB-186554,Nona Balk,0.0,US,2012-10-29,CA-2012-110289,High,OFF-EN-10001434,"Strathmore #10 Envelopes, Ultimate White",103.3116,4,West,211,Corporate,2012-11-02,Standard Class,18.58,California,Envelopes,2012,North America,44,4,25,40,4,4,0,1,-18.58
Office Supplies,San Francisco,United States,JM-161954,Justin MacKendrick,0.0,US,2012-11-05,CA-2012-145485,High,OFF-ST-10000649,Hanging Personal Folder File,15.7,4,West,63,Consumer,2012-11-05,Same Day,11.68,California,Storage,2012,North America,45,0,65,69,0,0,0,1,-11.68
Office Supplies,San Francisco,United States,AJ-109454,Ashley Jarboe,0.0,US,2012-11-28,CA-2012-164497,Medium,OFF-AP-10004655,"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",15.3952,4,West,45,Consumer,2012-11-30,First Class,0.16,California,Appliances,2012,North America,48,2,54,54,1,1,1,0,-0.16
Office Supplies,San Francisco,United States,AF-108704,Art Ferguson,0.0,US,2012-12-06,CA-2012-168634,Medium,OFF-AP-10001626,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",2.0228,2,West,8,Consumer,2012-12-11,Standard Class,0.67,California,Appliances,2012,North America,49,5,46,44,4,4,1,0,-0.67
